time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1758118358.73390007,0.38056160,13931,0.00421652,0.00000000,0,0.00000000,32956,33281,435,0.00231542
1758118358.83360004,0.33010129,13999,0.00275659,0.00000000,0,0.00000000,33281,33555,397,0.00353768
1758118358.93409991,0.29662564,13974,0.00260324,0.00000000,0,0.00000000,33555,33793,354,0.00348066
1758118359.03399992,0.32364375,14005,0.00510137,0.00000000,0,0.00000000,33793,34019,380,0.00271681
1758118359.23420000,0.30350522,14034,0.00357117,0.00000000,0,0.00000000,34019,34251,418,0.00274134
1758118359.43420005,0.32572471,14097,0.00410414,0.00000000,0,0.00000000,34251,34452,340,0.00326137
1758118359.53399992,0.32236514,14086,0.00254649,0.00000000,0,0.00000000,34452,34628,300,0.00253094
1758118359.63350010,0.34590689,14052,0.00356084,0.00000000,0,0.00000000,34628,34780,366,0.00171902
1758118359.83290005,0.26118710,14121,0.00170666,0.00000000,0,0.00000000,34780,34827,68,0.00213872
1758118359.93300009,0.25498788,14037,0.00207530,0.00000000,0,0.00000000,34827,34821,56,0.00235389
1758118360.03349996,0.27323328,14018,0.00183335,0.00000000,0,0.00000000,34821,34881,73,0.00298351
1758118360.13360000,0.29028189,14068,0.00129757,0.00000000,0,0.00000000,34881,34919,65,0.00287884
1758118360.23370004,0.24662018,14100,0.00134074,0.00000000,0,0.00000000,34919,34965,68,0.00328141
1758118360.33400011,0.28289885,14103,0.00292714,0.00000000,0,0.00000000,34965,35079,322,0.00233794
1758118360.43409991,0.27883852,14075,0.00244154,0.00000000,0,0.00000000,35079,35288,299,0.00241138
1758118360.63450003,0.28951881,13992,0.00346478,0.00000000,0,0.00000000,35288,35356,208,0.00242320
1758118360.83360004,0.26626685,13942,0.00376525,0.00000000,0,0.00000000,35356,35378,176,0.00248697
1758118360.93390012,0.26224359,13910,0.00300644,0.00000000,0,0.00000000,35378,35313,109,0.00254836
1758118361.13369989,0.28173837,13814,0.00216697,0.00000000,0,0.00000000,35313,35456,207,0.00274234
1758118361.23359990,0.27904103,13796,0.00224371,0.00000000,0,0.00000000,35456,35579,222,0.00303210
1758118361.33360004,0.31778453,13741,0.00473965,0.00000000,0,0.00000000,35579,35800,510,0.00321981
1758118361.43370008,0.24431851,13700,0.00168195,0.00000000,0,0.00000000,35800,35845,55,0.00314006
1758118361.53369999,0.31342615,13712,0.00374065,0.00000000,0,0.00000000,35845,36240,542,0.00244722
1758118361.73340011,0.24341115,13645,0.00170162,0.00000000,0,0.00000000,36240,36287,56,0.00268235
1758118361.83410001,0.29197028,13605,0.00187065,0.00000000,0,0.00000000,36287,36405,167,0.00343359
1758118361.93409991,0.32493876,13539,0.00367999,0.00000000,0,0.00000000,36405,36759,510,0.00315563
1758118362.03410006,0.34197229,13566,0.00804498,0.00000000,0,0.00000000,36759,36726,434,0.00293828
1758118362.13420010,0.24683580,13549,0.00129311,0.00000000,0,0.00000000,36726,36735,50,0.00257960
1758118362.23350000,0.23716235,13554,0.00122467,0.00000000,0,0.00000000,36735,36757,36,0.00407574
1758118362.33389997,0.31271230,13512,0.00376501,0.00000000,0,0.00000000,36757,36444,456,0.00344515
1758118362.43350005,0.27183814,13376,0.00201602,0.00000000,0,0.00000000,36444,36668,244,0.00257373
1758118362.53270006,0.25616212,13358,0.00149065,0.00000000,0,0.00000000,36668,36789,131,0.00266950
1758118362.63310003,0.26950006,13504,0.00155854,0.00000000,0,0.00000000,36789,36902,129,0.00226599
1758118362.73259997,0.25649760,13606,0.00163721,0.00000000,0,0.00000000,36902,36982,113,0.00258076
1758118362.83310008,0.27578659,13616,0.00304939,0.00000000,0,0.00000000,36982,37160,217,0.00298086
1758118362.93339992,0.30559786,13591,0.00268023,0.00000000,0,0.00000000,37160,37496,404,0.00203338
1758118363.03329992,0.33040157,13542,0.00260032,0.00000000,0,0.00000000,37496,37583,126,0.00190506
1758118363.13389993,0.26233046,13520,0.00175130,0.00000000,0,0.00000000,37583,37698,161,0.00328723
1758118363.23379993,0.30239713,13533,0.00217556,0.00000000,0,0.00000000,37698,37783,144,0.00454103
1758118363.33419991,0.29874149,13536,0.00163078,0.00000000,0,0.00000000,37783,37845,119,0.00294194
1758118363.43400002,0.25701047,13478,0.00135142,0.00000000,0,0.00000000,37845,37889,51,0.00232062
1758118363.53390002,0.30681882,13435,0.00320900,0.00000000,0,0.00000000,37889,38172,415,0.00257256
1758118363.63389993,0.28872234,13403,0.00333843,0.00000000,0,0.00000000,38172,38369,302,0.00254189
1758118363.73359990,0.25816235,13403,0.00164086,0.00000000,0,0.00000000,38369,38448,112,0.00223618
1758118363.93339992,0.28876329,13387,0.00436128,0.00000000,0,0.00000000,38448,38735,444,0.00263613
1758118364.03340006,0.23990366,13425,0.00176825,0.00000000,0,0.00000000,38735,38754,107,0.00268488
1758118364.13319993,0.31331793,13360,0.00397512,0.00000000,0,0.00000000,38754,38952,408,0.00382432
1758118364.23329997,0.27872176,13416,0.00156640,0.00000000,0,0.00000000,38952,38974,38,0.00344980
1758118364.33290005,0.31638603,13449,0.00545836,0.00000000,0,0.00000000,38974,39164,386,0.00262871
1758118364.43339992,0.27746698,13492,0.00141698,0.00000000,0,0.00000000,39164,39187,39,0.00300688
1758118364.53329992,0.24411146,13451,0.00180073,0.00000000,0,0.00000000,39187,39190,40,0.00237101
1758118364.63330007,0.24961266,13449,0.00129365,0.00000000,0,0.00000000,39190,39212,30,0.00313340
1758118364.83270001,0.23615261,13486,0.00116288,0.00000000,0,0.00000000,39212,39240,44,0.00267738
1758118364.93289995,0.23139102,13543,0.00132597,0.00000000,0,0.00000000,39240,39266,37,0.00287098
1758118365.03259993,0.27665110,13534,0.00330052,0.00000000,0,0.00000000,39266,39353,250,0.00263409
1758118365.13150001,0.31205210,13540,0.00387350,0.00000000,0,0.00000000,39353,39673,454,0.00287330
1758118365.33209991,0.26045503,13589,0.00136330,0.00000000,0,0.00000000,39673,39699,31,0.00270091
1758118365.53230000,0.25458021,13619,0.00183278,0.00000000,0,0.00000000,39699,39814,148,0.00228482
1758118365.63319993,0.28317919,13562,0.00145710,0.00000000,0,0.00000000,39814,39847,62,0.00257210
1758118365.73300004,0.24222537,13590,0.00198774,0.00000000,0,0.00000000,39847,39870,27,0.00224294
1758118365.93359995,0.24148866,13594,0.00169999,0.00000000,0,0.00000000,39870,39889,27,0.00293724
1758118366.03369999,0.28404551,13559,0.00363910,0.00000000,0,0.00000000,39889,39936,158,0.00364411
1758118366.13360000,0.27844597,13587,0.00327850,0.00000000,0,0.00000000,39936,40057,165,0.00302426
1758118366.23320007,0.25540281,13562,0.00253969,0.00000000,0,0.00000000,40057,40007,99,0.00203949
1758118366.33310008,0.25823385,13522,0.00172656,0.00000000,0,0.00000000,40007,40021,82,0.00258074
1758118366.53259993,0.24722752,13501,0.00170071,0.00000000,0,0.00000000,40021,40086,90,0.00280865
1758118366.73210001,0.31731216,13621,0.01675433,0.00000000,0,0.00000000,40086,39422,446,0.00255388
1758118366.83220005,0.23666917,13621,0.00130069,0.00000000,0,0.00000000,39422,39447,36,0.00275474
1758118366.93239999,0.28921586,13624,0.00359748,0.00000000,0,0.00000000,39447,39740,342,0.00447941
1758118367.03290009,0.23366875,13648,0.00148374,0.00000000,0,0.00000000,39740,39760,37,0.00424791
1758118367.13290000,0.31757906,13670,0.00365848,0.00000000,0,0.00000000,39760,40164,499,0.00270294
1758118367.23270011,0.32196377,13705,0.00438306,0.00000000,0,0.00000000,40164,40458,395,0.00289073
1758118367.33220005,0.30518481,13700,0.00247770,0.00000000,0,0.00000000,40458,40728,356,0.00302178
1758118367.43269992,0.30849594,13776,0.00284780,0.00000000,0,0.00000000,40728,40946,312,0.00346396
1758118367.53230000,0.28528781,13782,0.00475753,0.00000000,0,0.00000000,40946,41140,280,0.00290936
1758118367.63260007,0.30566759,13818,0.00255409,0.00000000,0,0.00000000,41140,41320,228,0.00305139
1758118367.93239999,0.24405158,13860,0.00108249,0.00000000,0,0.00000000,41320,41341,39,0.00294689
1758118368.03200006,0.32348574,13881,0.00368672,0.00000000,0,0.00000000,41341,41636,461,0.00304993
1758118368.23180008,0.24224698,13939,0.00109914,0.00000000,0,0.00000000,41636,41650,37,0.00413387
1758118368.33240008,0.30924936,14018,0.00358190,0.00000000,0,0.00000000,41650,41851,300,0.00460750
1758118368.43210006,0.24897696,14084,0.00120849,0.00000000,0,0.00000000,41851,41869,33,0.00252523
1758118368.53259993,0.30410828,14099,0.00384704,0.00000000,0,0.00000000,41869,41966,329,0.00270154
1758118368.63280010,0.24766711,14135,0.00128479,0.00000000,0,0.00000000,41966,41987,39,0.00491183
1758118368.73239994,0.27093743,14150,0.00142558,0.00000000,0,0.00000000,41987,42014,52,0.00328606
1758118368.83270001,0.28012909,14148,0.00175295,0.00000000,0,0.00000000,42014,42145,172,0.00261322
1758118368.93219995,0.27939384,14173,0.00216649,0.00000000,0,0.00000000,42145,42275,184,0.00277312
